Name,Price,Rating
Shop on eBay,$20.00,No rating
Shop on eBay,$20.00,No rating
"Lenovo Legion Pro 7i 16"" WQXGA 240Hz Gaming Laptop i9-14900HX 16GB RAM RTX 4080",$37.98,No rating
"Lenovo ThinkBook 15 Gen 4 Notebook 15.6"" FHD AMD R7 5825U 16GB RAM 512GB SSD",$39.33,No rating
"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 4TB SSD Windows 11",$453.00to$896.00,No rating
"Lenovo Yoga 11e 2-in-1 Touch Laptop 11.6"" Windows 10 Pentium 4GB RAM 256GB SSD",$79.99,No rating
Dell Inspiron 15 5567 i5-7200U@2.5GHz 8GB RAM 256GB SSD Windows 10 Home,$46.00,No rating
New ListingSONY VAIO VGN-P90HS Custom Model Intel Atom Z540 1.86GHz 2GB RAM 64GB SSD Vista,$248.00,No rating
"New ListingDell Latitude E6520 Laptop Computer 15.6"" Windows 10 Core i5 6GB Ram 512GB HDMI",$105.00,No rating
"Dell Latitude 5400 14"" Core i7-8665U 1.90GHz 8GB 256GB SSD W11 Laptop (A3614)",$49.95,No rating
"Dell Latitude 15"" Core i5 Laptop PC Computer Windows 10 16GB RAM 256GB SSD WiFi",$209.99,5.0 out of 5 stars.
"Lenovo Touchscreen 2-in-1 11.6"" Laptop PC Intel 4GB RAM 64GB SSD Windows 10 WiFi",$74.99,No rating
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",$599.99,No rating
~CLEARANCE~ 15.6 Lenovo ThinkPad Laptop: 16GB RAM! 256GB SSD! Windows 10 Pro!,$189.95,No rating
"Dell laptop Latitude 7480 14"" i5 2.60GHz 16GB NEW 512GB SSD Win 11 Pro WIFI cam",$217.55,No rating
HP 250 G9 15.6  Full HD IPS Intel Core i5-1235U 16GB RAM 512GB SSD Notebook Dark,$389.99,No rating
"15.6"" Lenovo ThinkPad Laptop PC: Intel i5! 16GB RAM! 512 SSD! Windows 10! Webcam",$229.99,No rating
Dell Latitude 5500 Laptop PC Intel Core i5 4.10GHz 64GB RAM 4TB SSD Win 11 Pro,$335.00to$777.00,No rating
"15.6"" HP ProBook Laptop PC: Intel i7! 16GB RAM! 1TB SSD! Windows 10 Pro! Webcam!",$249.95,No rating
Acer Aspire 5 15.6'' (256 SSD Intel Core i5 ( 8GB RAM) Windows 11 Home - SILVER,$127.50,No rating
"CHUWI - 14.1"" Laptop - Intel Celeron 2.8GH- 6GB Memory - 128GB SSD - HDMI Silver",$143.99,No rating
